AvgOrderValue,PurchaseFrequency,NumProductCategoriesShoppedIn,AvgDiscountUsed
23.84,1.28,1,0.02
185.29,1.94,2,0.017
40.77,2.3,2,0.285
43.39,4.22,2,0.402
28.85,11.21,4,0.076
45.74,2.8,2,0.278
167.78,1.75,2,0.045
46.33,1.91,2,0.238
53.59,3.57,1,0.339
41.23,14.76,4,0.133
26.54,10.28,2,0.129
52.64,2.37,3,0.388
196.62,1.75,2,0.033
161.81,3.6,3,0.05
45.57,3.15,2,0.502
36.56,3.13,2,0.341
30.37,17.61,2,0.063
37.48,12.22,3,0.06
36.43,10.13,2,0.117
166.91,2.38,1,0.072
204.96,3.34,2,0.051
37.82,1.98,2,0.289
36.92,9.34,3,0.087
207.01,1.54,2,0.005
34.99,12.11,3,0.039
29.47,3.52,3,0.358
29.37,12.16,3,0.133
44.19,8.2,3,0.109
212.5,2.58,2,0.001
46.2,3.47,1,0.343
47.99,2.5,3,0.33
28.14,11.27,3,0.071
42.02,9.93,2,0.109
39.38,9.29,3,0.167
156.83,2.3,2,0.028
187.69,1.96,2,0.093
28.0,1.02,1,0.018
35.65,11.04,2,0.102
213.2,1.35,2,0.027
168.08,2.74,3,0.076
30.73,14.12,2,0.131
194.59,1.75,1,0.048
232.12,2.44,1,0.099
36.33,1.17,1,0.015
198.82,0.4,1,0.081
35.32,12.65,4,0.132
22.44,12.87,2,0.125
216.23,1.8,1,0.044
27.13,8.69,1,0.085
29.49,10.71,4,0.152
218.95,2.32,1,0.0
24.82,8.01,4,0.092
29.21,0.98,1,0.036
38.34,14.43,4,0.172
22.71,0.45,2,0.018
30.81,3.3,1,0.295
41.57,2.26,2,0.396
38.32,11.08,4,0.086
48.82,10.01,3,0.055
33.3,11.93,3,0.107
213.05,2.68,2,0.109
178.57,1.15,3,0.045
34.21,1.29,1,0.038
15.2,11.94,2,0.047
19.54,0.96,1,0.0
28.21,1.33,1,0.016
45.72,2.84,2,0.376
49.3,10.83,3,0.199
181.86,3.1,3,0.059
201.13,2.01,1,0.027
21.17,0.45,1,0.046
37.2,8.84,4,0.132
231.48,1.57,3,0.054
26.75,0.3,1,0.007
27.84,9.95,2,0.091
27.21,0.81,1,0.032
21.32,0.65,1,0.011
204.15,1.64,2,0.079
50.29,2.75,2,0.323
27.7,3.12,1,0.343
206.08,1.08,2,0.06
200.02,3.0,2,0.059
190.99,2.54,1,0.106
31.84,2.86,2,0.368
32.63,4.33,2,0.341
