AvgOrderValue,PurchaseFrequency,NumProductCategoriesShoppedIn,AvgDiscountUsed,Cluster
23.84,1.28,1,0.02,2
185.29,1.94,2,0.017,1
40.77,2.3,2,0.285,3
43.39,4.22,2,0.402,3
28.85,11.21,4,0.076,0
45.74,2.8,2,0.278,3
167.78,1.75,2,0.045,1
46.33,1.91,2,0.238,3
53.59,3.57,1,0.339,3
41.23,14.76,4,0.133,0
26.54,10.28,2,0.129,0
52.64,2.37,3,0.388,3
196.62,1.75,2,0.033,1
161.81,3.6,3,0.05,1
45.57,3.15,2,0.502,3
36.56,3.13,2,0.341,3
30.37,17.61,2,0.063,0
37.48,12.22,3,0.06,0
36.43,10.13,2,0.117,0
166.91,2.38,1,0.072,1
204.96,3.34,2,0.051,1
37.82,1.98,2,0.289,3
36.92,9.34,3,0.087,0
207.01,1.54,2,0.005,1
34.99,12.11,3,0.039,0
29.47,3.52,3,0.358,3
29.37,12.16,3,0.133,0
44.19,8.2,3,0.109,0
212.5,2.58,2,0.001,1
46.2,3.47,1,0.343,3
47.99,2.5,3,0.33,3
28.14,11.27,3,0.071,0
42.02,9.93,2,0.109,0
39.38,9.29,3,0.167,0
156.83,2.3,2,0.028,1
187.69,1.96,2,0.093,1
28.0,1.02,1,0.018,2
35.65,11.04,2,0.102,0
213.2,1.35,2,0.027,1
168.08,2.74,3,0.076,1
30.73,14.12,2,0.131,0
194.59,1.75,1,0.048,1
232.12,2.44,1,0.099,1
36.33,1.17,1,0.015,2
198.82,0.4,1,0.081,1
35.32,12.65,4,0.132,0
22.44,12.87,2,0.125,0
216.23,1.8,1,0.044,1
27.13,8.69,1,0.085,2
29.49,10.71,4,0.152,0
218.95,2.32,1,0.0,1
24.82,8.01,4,0.092,0
29.21,0.98,1,0.036,2
38.34,14.43,4,0.172,0
22.71,0.45,2,0.018,2
30.81,3.3,1,0.295,3
41.57,2.26,2,0.396,3
38.32,11.08,4,0.086,0
48.82,10.01,3,0.055,0
33.3,11.93,3,0.107,0
213.05,2.68,2,0.109,1
178.57,1.15,3,0.045,1
34.21,1.29,1,0.038,2
15.2,11.94,2,0.047,0
19.54,0.96,1,0.0,2
28.21,1.33,1,0.016,2
45.72,2.84,2,0.376,3
49.3,10.83,3,0.199,0
181.86,3.1,3,0.059,1
201.13,2.01,1,0.027,1
21.17,0.45,1,0.046,2
37.2,8.84,4,0.132,0
231.48,1.57,3,0.054,1
26.75,0.3,1,0.007,2
27.84,9.95,2,0.091,0
27.21,0.81,1,0.032,2
21.32,0.65,1,0.011,2
204.15,1.64,2,0.079,1
50.29,2.75,2,0.323,3
27.7,3.12,1,0.343,3
206.08,1.08,2,0.06,1
200.02,3.0,2,0.059,1
190.99,2.54,1,0.106,1
31.84,2.86,2,0.368,3
32.63,4.33,2,0.341,3
28.88,9.95,2,0.159,0
40.94,2.43,2,0.327,3
54.13,3.68,2,0.404,3
44.39,3.74,2,0.356,3
30.49,1.26,2,0.0,2
41.09,13.92,3,0.082,0
179.23,1.83,1,0.064,1
28.55,14.17,3,0.03,0
162.04,2.02,2,0.047,1
31.22,13.06,4,0.074,0
53.84,2.35,2,0.296,3
37.93,12.92,3,0.099,0
33.57,9.99,4,0.151,0
44.34,4.7,2,0.283,3
189.26,2.42,2,0.022,1
188.79,2.33,2,0.029,1
202.51,1.16,2,0.042,1
174.82,0.97,2,0.076,1
226.84,1.91,2,0.003,1
41.12,8.96,2,0.0,0
42.23,7.51,3,0.02,0
37.92,13.82,2,0.117,0
29.57,1.05,1,0.012,2
42.65,12.23,2,0.135,0
34.59,13.55,3,0.111,0
210.52,2.34,1,0.084,1
39.23,9.58,3,0.128,0
222.18,2.28,3,0.073,1
24.76,0.74,1,0.046,2
49.23,2.8,1,0.394,3
235.11,1.03,2,0.049,1
44.88,13.95,3,0.052,0
31.92,12.01,3,0.013,0
48.97,15.77,4,0.022,0
18.79,3.43,2,0.381,3
28.55,0.97,1,0.014,2
49.71,11.94,4,0.085,0
28.68,7.92,3,0.08,0
29.93,14.91,2,0.145,0
183.69,1.83,2,0.03,1
50.71,2.97,2,0.345,3
17.6,11.58,3,0.025,0
24.58,1.92,1,0.038,2
43.1,4.52,2,0.43,3
183.06,2.13,3,0.041,1
32.44,0.68,1,0.017,2
40.86,14.93,2,0.033,0
53.39,2.22,2,0.382,3
194.52,1.23,3,0.081,1
33.22,13.51,2,0.091,0
43.67,3.69,2,0.399,3
189.73,1.61,1,0.067,1
40.47,1.65,2,0.336,3
43.26,17.17,4,0.091,0
40.38,11.27,3,0.116,0
22.99,3.72,3,0.236,3
176.45,3.0,2,0.038,1
39.17,7.54,4,0.054,0
39.27,12.1,2,0.113,0
180.86,1.82,2,0.075,1
30.79,15.73,4,0.07,0
181.82,2.16,2,0.029,1
48.66,14.6,3,0.114,0
42.86,3.26,2,0.203,3
45.64,8.82,1,0.128,2
164.41,1.95,2,0.048,1
33.33,3.29,2,0.297,3
34.13,10.92,4,0.063,0
23.48,0.64,1,0.032,2
48.71,4.11,2,0.4,3
45.49,3.59,2,0.423,3
28.65,4.3,2,0.125,2
35.65,17.38,3,0.093,0
33.52,11.23,4,0.08,0
39.93,11.21,2,0.079,0
51.38,3.1,1,0.232,3
54.22,2.45,2,0.288,3
30.57,10.41,3,0.169,0
39.51,14.73,3,0.141,0
59.91,3.03,2,0.419,3
42.41,3.43,2,0.461,3
174.36,0.71,1,0.005,1
169.67,2.47,3,0.063,1
17.94,3.66,1,0.261,3
243.73,2.53,2,0.031,1
32.41,13.42,2,0.156,0
191.42,1.1,2,0.053,1
23.81,0.52,1,0.034,2
36.02,12.85,3,0.161,0
219.06,1.81,2,0.055,1
236.06,1.6,2,0.081,1
211.19,2.45,2,0.073,1
51.72,2.97,2,0.218,3
50.15,3.73,2,0.411,3
196.13,1.33,2,0.036,1
195.88,2.08,2,0.049,1
47.68,3.68,3,0.259,3
18.47,4.38,2,0.236,3
25.26,2.75,2,0.301,3
35.24,1.39,1,0.0,2
51.84,2.59,3,0.353,3
204.46,1.93,2,0.047,1
55.03,3.1,2,0.407,3
